Pays ;PNB en m€;résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales périmètre en +;Total Filiales;Filiales;Activités;Mouvement de périmètre
Curaçao;1 ;1 ;0 ;0 ;0 ;0 ;1;0;1;SGA Société Générale acceptance N.V ("SGA");Financial company;
Danemark;57 ;33 ;-9 ;2 ;-7 ;146 ;4;0;4;ALD Automotive A/S;Specialist Financing;company carrying out sub-consolidation
Danemark;;;;;;;;;;NF Fleet A/S;Specialist Financing;
Danemark;;;;;;;;;;Pema Last OG - Trailerudlejning A/S;Specialist Financing;
Danemark;;;;;;;;;;SG Finans AS Danish Branch;Specialist Financing;
Émirats Arabes Unis;17 ;4 ;0 ;0 ;0 ;79 ;3;0;3;Newedge group (Dubaï branch);Broker;
Émirats Arabes Unis;;;;;;;;;;Société Générale bank & trust Dubaï;Bank;
Émirats Arabes Unis;;;;;;;;;;Société Générale Dubaï;Bank;
Espagne;400 ;233 ;-46 ;-7 ;-53 ;562 ;8;1;9;ALD Automotive S.A.U;Specialist Financing;
Espagne;;;;;;;;;;Altura markets, sociedad de valores SA;Broker;
Espagne;;;;;;;;;;Genefilm succursal en Espana;Real estate and real estate financing;
Espagne;;;;;;;;;;Self trade bank SA;Broker;
Espagne;;;;;;;;;;SG Equipment finance Iberia, EFC, SA;Specialist Financing;
Espagne;;;;;;;;;;SG Holding de valores y participaciones SL;Specialist financing;entité déconsolidée en 2014
Espagne;;;;;;;;;;SOCGEN inversiones financieras SA;Financial company;
Espagne;;;;;;;;;;Société Générale succursal en Espana;Bank;
Espagne;;;;;;;;;;Sodeprom;Real estate and real estate financing;
Estonie;;0 ;;;;;1;0;1;ALD Automotive Eesti AS;Specialist Financing;Mise en équivalence
États-Unis;1205 ;219 ;-35 ;-187 ;-222 ;2455 ;30;1;31;Aegis holdings (onshore) inc;Financial company;
États-Unis;;;;;;;;;;Antalis US Funding corp;Financial company;
États-Unis;;;;;;;;;;Barton capital LLC;Financial company;changement dans le seuil de consolidation du à l'application retrospective de IFRS10
États-Unis;;;;;;;;;;Bennington Stark Capital company LLC;Specialist financing;entité déconsolidée en 2014
États-Unis;;;;;;;;;;CGI Finance Inc;Financial company;
États-Unis;;;;;;;;;;CGI North America Inc;Specialist financing;
États-Unis;;;;;;;;;;Classic yatch documentation Inc;Services;
États-Unis;;;;;;;;;;Lyxor asset management holding corp;Portfolio management;company carrying out sub-consolidation
États-Unis;;;;;;;;;;Lyxor asset management inc;Financial company;
États-Unis;;;;;;;;;;Newedge facilities management Inc;Services;
États-Unis;;;;;;;;;;Newedge USA, LLC;Broker;entreprise désormais consolidée directement
États-Unis;;;;;;;;;;SG Americas equities corp;Financial company;
États-Unis;;;;;;;;;;SG Americas operational services, inc;Services;
États-Unis;;;;;;;;;;SG Americas securities holdings LLC;Bank;company carrying out sub-consolidation
États-Unis;;;;;;;;;;SG Americas securities, LLC;Broker;
États-Unis;;;;;;;;;;SG Americas, Inc;Financial company;company carrying out sub-consolidation
États-Unis;;;;;;;;;;SG Constellation, Inc;Financial company;
États-Unis;;;;;;;;;;SG Equipment finance USA Corp;Specialist Financing;
États-Unis;;;;;;;;;;SG Mortgage Finance Corp;Financial company;
États-Unis;;;;;;;;;;SG Reinsurance Intermediary brokerage, LLC;Insurance;
États-Unis;;;;;;;;;;SG Structured products, Inc;Specialist Financing;
États-Unis;;;;;;;;;;SGAIF, Inc;Financial company;
États-Unis;;;;;;;;;;SGAIH, Inc;Financial company;
États-Unis;;;;;;;;;;SGB finance north America Inc;Financial company;
États-Unis;;;;;;;;;;Société Générale (New York);Bank;
États-Unis;;;;;;;;;;Société Générale Energy LLC;Financial company;
États-Unis;;;;;;;;;;Société Générale Financial Corporation;Financial company;
États-Unis;;;;;;;;;;Société Générale Investment corporation;Financial company;
États-Unis;;;;;;;;;;Société Générale North America, Inc;Financial company;
États-Unis;;;;;;;;;;Tender option bond program;Financial company;
États-Unis;;;;;;;;;;Tropicana funding incorporated;Financial company;
Finlande;59 ;43 ;-7 ;-3 ;-10 ;86 ;2;0;2;Axus Finland OY;Specialist Financing;company carrying out sub-consolidation
Finlande;;;;;;;;;;NF Fleet OY;Specialist Financing;
France;10576 ;321 ;-347 ;33 ;-314 ;51794 ;301;7;308;9 rue des bienvenus;Real estate and real estate financing;
France;;;;;;;;;;Air bail;Specialist Financing;
France;;;;;;;;;;Aix - bord du lac - 3;Real estate and real estate financing;
France;;;;;;;;;;Albigny Avoraux;Real estate and real estate financing;
France;;;;;;;;;;ALD automotive Russie SAS;Specialist Financing;
France;;;;;;;;;;Ald International;Specialist Financing;
France;;;;;;;;;;Alprim;Real estate and real estate financing;
France;;;;;;;;;;Almundi group;Financial company;company carrying out sub-consolidation
France;;;;;;;;;;Antalis SA;Financial company;company carrying sub-consolidation + changement du seuil de consolidation après application rétrospective d'IFRS10
France;;;;;;;;;;Antarius;Insurance;
France;;;;;;;;;;Antarius fonds actions plus;Financial company;
France;;;;;;;;;;Antarius fonds obligataire;Financial company;
France;;;;;;;;;;Antarius Obli 1 - 3 ans;Financial company;
France;;;;;;;;;;Antarius rotation sectorielle;Financial company;
France;;;;;;;;;;Aqprim;Real estate and real estate financing;
France;;;;;;;;;;Aviva investors réserve Europe;Financial company;
France;;;;;;;;;;Banque courtois;Bank;
France;;;;;;;;;;Banque française commerciale océan indien;Bank;
France;;;;;;;;;;Banque Kolb;Bank;
France;;;;;;;;;;Banque Laydernier;Bank;
France;;;;;;;;;;Banque Nuger;Bank;
France;;;;;;;;;;Banque Pouyanne;Bank;
France;;;;;;;;;;Banque Rhône Alpes;Bank;
France;;;;;;;;;;Banque Tarneaud;Bank;company carrying out sub-consolidation
France;;;;;;;;;;Boursorama SA;Broker;
France;;;;;;;;;;Bremany lease SAS;Specialist Financing;
France;;;;;;;;;;Caen - rue Basse;Real estate and real estate financing;
France;;;;;;;;;;Caen - rue du général Moulin;Real estate and real estate financing;
France;;;;;;;;;;Carburauto;Group real estate management company;
France;;;;;;;;;;Carrera;Group real estate management company;
France;;;;;;;;;;Centre immo promotion;Real estate and real estate financing;
France;;;;;;;;;;Chartreux Lot A1;Real estate and real estate financing;
France;;;;;;;;;;Chemin des combes;Real estate and real estate financing;
France;;;;;;;;;;Cœur Europe;Real estate and real estate financing;
France;;;;;;;;;;Compagnie financière de Bourbon;Specialist Financing;
France;;;;;;;;;;Compagnie foncière de la Méditerranée (CFM);Group real estate management company;company carrying out sub-consolidation
France;;;;;;;;;;Compagnie générale d'affacturage;Services;
France;;;;;;;;;;Compagnie générale de location d'équipements;Specialist Financing;company carrying out sub-consolidation
France;;;;;;;;;;Conte;Group real estate management company;
France;;;;;;;;;;Credinord cidize;Financial company;
France;;;;;;;;;;Crédit du Nord;Bank;company carrying out sub-consolidation
France;;;;;;;;;;Darwin diversifié 0 -20;Portfolio management;
France;;;;;;;;;;Darwin diversifié 40 - 60;Portfolio management;
France;;;;;;;;;;Darwin diversifié 80 - 100;Portfolio management;
France;;;;;;;;;;Deville AV Leclerc;Real estate and real estate financing;
France;;;;;;;;;;Disponis;Specialist Financing;
France;;;;;;;;;;Eleaparts;Group real estate management companies;entité liquidée en 2014
France;;;;;;;;;;ESNI - Compartiment SG - Credit claims - 1;Financial company;entrée dans le périmètre
France;;;;;;;;;;Etoile cliquet 90;Financial company;
France;;;;;;;;;;Etoile garanti février 2020;Financial company;
France;;;;;;;;;;Etoile garanti juillet 2018;Financial company;
France;;;;;;;;;;Etoile ID;Financial company;
France;;;;;;;;;;Etoile Patrimoine 50;Financial company;
France;;;;;;;;;;Etoile Top 2007;Financial company;
France;;;;;;;;;;Evalparts;Specialist financing;Dissolution par transferts d'actifs avec GEFINANCE
France;;;;;;;;;;FCC Albatros;Portfolio management;
France;;;;;;;;;;FCT Blanco;Financial company;
France;;;;;;;;;;FCT Coda;Financial company;
France;;;;;;;;;;FCT Compartment Sogecap SG 1;Financial company;
France;;;;;;;;;;FCT Malzieu;Financial company;entrée dans le périmètre
France;;;;;;;;;;FCT R  & B BDDF PPI;Portfolio management;
France;;;;;;;;;;FCT Red & Black French small business;Specialist Financing;
France;;;;;;;;;;FCT Water dragon;Financial company;
France;;;;;;;;;;Fenwick lease;Specialist Financing;
France;;;;;;;;;;Financière UC;Real estate and real estate financing;
France;;;;;;;;;;Finareg;Portfolio management;
France;;;;;;;;;;Finassurance SNC;Broker;
France;;;;;;;;;;FPS;Portfolio management;entrée dans le périmètre
France;;;;;;;;;;FQA Fund;Financial company;
France;;;;;;;;;;Franfinance;Specialist Financing;
France;;;;;;;;;;Franfinance location;Specialist Financing;
France;;;;;;;;;;Galybet;Real estate and real estate financing;
France;;;;;;;;;;Gene act 1;Portfolio management;
France;;;;;;;;;;Genebanque;Bank;
France;;;;;;;;;;Genecal France;Specialist Financing;
France;;;;;;;;;;Genecar - Société générale de courtage d'assurance et de réassurance;Insurance;
France;;;;;;;;;;Genecomi;Specialist Financing;
France;;;;;;;;;;Genefim;Real estate and real estate financing;company carrying out sub-consolidation
France;;;;;;;;;;Genefimmo holding;Real estate and real estate financing;company carrying out sub-consolidation
France;;;;;;;;;;Genefinance;Portfolio management;
France;;;;;;;;;;Genegis I;Group real estate management company;
France;;;;;;;;;;Genegis II ;Group real estate management company;
France;;;;;;;;;;Geneval;Portfolio management;company carrying out sub-consolidation
France;;;;;;;;;;Genevalmy;Group real estate management company;
France;;;;;;;;;;Geninfo;Portfolio management;
France;;;;;;;;;;Imaprim aménagement;Real estate and real estate financing;
France;;;;;;;;;;Inora Life France;Insurance;
France;;;;;;;;;;Inter Europe Conseil;Financial company;
France;;;;;;;;;;Investir immobilier - Maromme ;Real estate and real estate financing;
France;;;;;;;;;;Investir immobilier - Normandie;Real estate and real estate financing;
France;;;;;;;;;;Issy 11-3 Gallieni;Real estate and real estate financing;
France;;;;;;;;;;Kolb investissement;Financial company;
France;;;;;;;;;;La Banque postale financement;Specialist Financing;
France;;;;;;;;;;La Croix boisée;Real estate and real estate financing;
France;;;;;;;;;;La foncière de la défense;Portfolio management;
France;;;;;;;;;;La Madeleine;Real estate and real estate financing;
France;;;;;;;;;;Les mésanges;Real estate and real estate financing;
France;;;;;;;;;;Libecap;Portfolio management;
France;;;;;;;;;;Lirix;Portfolio management;
France;;;;;;;;;;Lyxor asset management;Financial company;
France;;;;;;;;;;Lyxor  international asset management;Financial company;
France;;;;;;;;;;Newedge group;Broker;company carrying out sub-consolidation + changement de la méthode de consolidation
France;;;;;;;;;;Nice Broc;Real estate and real estate financing;
France;;;;;;;;;;Nice carros;Real estate and real estate financing;
France;;;;;;;;;;Noaho;Real estate and real estate financing;
France;;;;;;;;;;Norbail immobilier;Real estate and real estate financing;
France;;;;;;;;;;Norbail sofergie;Real estate and real estate financing;
France;;;;;;;;;;Norimmo;Real estate and real estate financing;
France;;;;;;;;;;Onyx;Group real estate management company;
France;;;;;;;;;;OPCI Sogecapimmo;Real estate and real estate financing;
France;;;;;;;;;;Opera 72;Group real estate management company;
France;;;;;;;;;;Oradea vie;Insurance;
France;;;;;;;;;;Orpavimob;Specialist Financing;
France;;;;;;;;;;Pactimo;Real estate and real estate financing;
France;;;;;;;;;;Parel;Services;
France;;;;;;;;;;Participations immobilières Rhône Alpes;Real estate and real estate financing;
France;;;;;;;;;;Philips Médical Capital France;Specialist Financing;
France;;;;;;;;;;Pragma;Real estate and real estate financing;
France;;;;;;;;;;Primaxia;Real estate and real estate financing;
France;;;;;;;;;;Prioris;Financial company;
France;;;;;;;;;;Projectim;Real estate and real estate financing;
France;;;;;;;;;;Red & black auto France 2012;Financial company;
France;;;;;;;;;;Red & black consumer France 2013;Financial company;
France;;;;;;;;;;Rivaprim;Real estate and real estate financing;
France;;;;;;;;;;Rusfinance SAS;Specialist financing;entité déconsolidée en 2014
France;;;;;;;;;;SCI Le domaine de Stoneham;Real estate and real estate financing;
France;;;;;;;;;;Sagemcom Lease;Specialist Financing;
France;;;;;;;;;;Saint Clair;Real estate and real estate financing;
France;;;;;;;;;;Saint-Martin 3;Real estate and real estate financing;
France;;;;;;;;;;SARL DT 6 Nantes;Real estate and real estate financing;
France;;;;;;;;;;SARL Seine Clichy;Real estate and real estate financing;
France;;;;;;;;;;SAS Antony - Domaine de Tourvoie;Real estate and real estate financing;
France;;;;;;;;;;SAS Coprim Résidences;Real estate and real estate financing;
France;;;;;;;;;;SAS de la rue Dora Maar;Real estate and real estate financing;
France;;;;;;;;;;SAS Loire Atlantique tertiaire;Real estate and real estate financing;
France;;;;;;;;;;SAS Noaho aménagement;Real estate and real estate financing;
France;;;;;;;;;;SAS Normandie Habitat;Real estate and real estate financing;
France;;;;;;;;;;SAS Normandie résidences;Real estate and real estate financing;
France;;;;;;;;;;SAS Parnasse;Real estate and real estate financing;
France;;;;;;;;;;SAS Sogeprom Tertiaire;Real estate and real estate financing;
France;;;;;;;;;;SAS Tour D2;Real estate and real estate financing;
France;;;;;;;;;;SC Alicante 2000;Group real estate management company;
France;;;;;;;;;;SC Chassagne 2000;Group real estate management company;
France;;;;;;;;;;SCCV 29 et 31 avenue Charles de Gaulle a la teste de Buch;Real estate and real estate financing;
France;;;;;;;;;;SCCV 3 châteaux;Real estate and real estate financing;
France;;;;;;;;;;SCCV Balma entreprise;Real estate and real estate financing;
France;;;;;;;;;;SCCV Bassens les monts;Real estate and real estate financing;
France;;;;;;;;;;SCCV Blainville lemarchand;Real estate and real estate financing;
France;;;;;;;;;;SCCV Charité - îlot 3;Real estate and real estate financing;
France;;;;;;;;;;SCCV Caen charité - réhabilitation;Real estate and real estate financing;
France;;;;;;;;;;SCCV Chartreux Lot E;Real estate and real estate financing;
France;;;;;;;;;;SCCV Chartreux Lots B-D;Real estate and real estate financing;
France;;;;;;;;;;SCCV Eterville rue du village;Real estate and real estate financing;
France;;;;;;;;;;SCCV Les écrivains;Real estate and real estate financing;
France;;;;;;;;;;SCCV Les patios d'or de Fleury Les Aubrais;Real estate and real estate financing;
France;;;;;;;;;;SCCV Les sucres;Real estate and real estate financing;
France;;;;;;;;;;SCCV Marcq Projectim;Real estate and real estate financing;
France;;;;;;;;;;SCCV Marquet Projectim;Real estate and real estate financing;
France;;;;;;;;;;SCCV Pourcieux Baronnes;Real estate and real estate financing;
France;;;;;;;;;;SCCV River green;Real estate and real estate financing;
France;;;;;;;;;;SCCV Vernaison Razat;Real estate and real estate financing;
France;;;;;;;;;;SCDM Participations;Portfolio management;
France;;;;;;;;;;SCI Aix bord du lac 1;Real estate and real estate financing;
France;;;;;;;;;;SCI Aix bord du lac 2;Real estate and real estate financing;
France;;;;;;;;;;SCI Aqprim promotion;Real estate and real estate financing;
France;;;;;;;;;;SCI ASC La Bergeonnerie;Real estate and real estate financing;
France;;;;;;;;;;SCI Avaricum;Real estate and real estate financing;
France;;;;;;;;;;SCI Braille/ Hôtel de ville;Real estate and real estate financing;
France;;;;;;;;;;SCI CAP Courrouze;Real estate and real estate financing;
France;;;;;;;;;;SCI Centre immo promotion résidences;Real estate and real estate financing;
France;;;;;;;;;;SCI Charité - Girandière;Real estate and real estate financing;
France;;;;;;;;;;SCI Chelles Aulnoy Mendes France;Real estate and real estate financing;
France;;;;;;;;;;SCI Dreux la Rotule Nord;Real estate and real estate financing;
France;;;;;;;;;;SCI du 84 rue du Bac;Real estate and real estate financing;
France;;;;;;;;;;SCI Etampes Notre-Dame;Real estate and real estate financing;
France;;;;;;;;;;SCI Etrechy Saint Nicolas;Real estate and real estate financing;
France;;;;;;;;;;SCI Europarc Haute Borne 1;Real estate and real estate financing;
France;;;;;;;;;;SCI Europarc St Martin du Touch 2002;Real estate and real estate financing;
France;;;;;;;;;;SCI Goussainville Saint-Just;Real estate and real estate financing;
France;;;;;;;;;;SCI Hegel Projectim;Real estate and real estate financing;
France;;;;;;;;;;SCI La Mantilla commerces;Real estate and real estate financing;
France;;;;;;;;;;SCI la Marqueille;Real estate and real estate financing;
France;;;;;;;;;;SCI Lavoisier;Real estate and real estate financing;
France;;;;;;;;;;SCI Le hameau des grands prés;Real estate and real estate financing;
France;;;;;;;;;;SCI Le parc de borderouge;Real estate and real estate financing;
France;;;;;;;;;;SCI Les jardins d'Iris;Real estate and real estate financing;
France;;;;;;;;;;SCI Les portes du Léman;Real estate and real estate financing;
France;;;;;;;;;;SCI Les résidences genévoises;Real estate and real estate financing;
France;;;;;;;;;;SCI Lieusaint rue de Paris;Real estate and real estate financing;
France;;;;;;;;;;SCI Linas Cœur de ville 1;Real estate and real estate financing;
France;;;;;;;;;;SCI L'orée des lacs;Real estate and real estate financing;
France;;;;;;;;;;SCI Lyon Joannes;Real estate and real estate financing;
France;;;;;;;;;;SCI Marcoussis Bellejame;Real estate and real estate financing;
France;;;;;;;;;;SCI Noaho résidences;Real estate and real estate financing;
France;;;;;;;;;;SCI Paris 182  Château des rentiers;Real estate and real estate financing;
France;;;;;;;;;;SCI Projectim habitat;Real estate and real estate financing;
France;;;;;;;;;;SCI Projectim Helemmes Seguin;Real estate and real estate financing;
France;;;;;;;;;;SCI Projectim Marcq cœur de ville;Real estate and real estate financing;
France;;;;;;;;;;SCI Prony;Real estate and real estate financing;
France;;;;;;;;;;SCI Quintessence - Valescure;Real estate and real estate financing;
France;;;;;;;;;;SCI Reims Gare;Real estate and real estate financing;
France;;;;;;;;;;SCI Résidence du Donjon;Real estate and real estate financing;
France;;;;;;;;;;SCI Rhin et Moselle 1;Real estate and real estate financing;
France;;;;;;;;;;SCI Riva Prim Habitat;Real estate and real estate financing;
France;;;;;;;;;;SCI Riva prim résidences;Real estate and real estate financing;
France;;;;;;;;;;SCI Saint-Ouen L'aumône - L'Oise;Real estate and real estate financing;
France;;;;;;;;;;SCI Saint-Denis Wilson;Real estate and real estate financing;
France;;;;;;;;;;SCI Saint-Pierre-des-Corps/ CAP 55;Real estate and real estate financing;
France;;;;;;;;;;SCI SCS Immobilier d'entreprises;Real estate and real estate financing;
France;;;;;;;;;;SCI Sogeadi Tertiaire;Real estate and real estate financing;
France;;;;;;;;;;SCI Sogecip;Real estate and real estate financing;
France;;;;;;;;;;SCI Sogectim;Real estate and real estate financing;
France;;;;;;;;;;SCI Sogeprom atlantique;Real estate and real estate financing;
France;;;;;;;;;;SCI Sogeprom CIP Centre;Real estate and real estate financing;
France;;;;;;;;;;SCI Terres nouvelles franciliennes;Real estate and real estate financing;
France;;;;;;;;;;SCI Toulouse Centreda 3;Real estate and real estate financing;
France;;;;;;;;;;SCI Valence - champs de Mars;Real estate and real estate financing;
