Pays;PNB (en m€);résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales Périmètre en +;Total Filiales ;Filiales;Activités;Méthode de consolidation
États-Unis;;;;;;;;;;EPI SO SLP LLC;Asset Management;
États-Unis;;;;;;;;;;Gateway Investment advisers, LLC;Asset Management;
États-Unis;;;;;;;;;;Harris Alternatives Holding Inc;Holding company;
États-Unis;;;;;;;;;;Harris associates investment Trust;Asset Management;
États-Unis;;;;;;;;;;Harris Associates LP;Asset Management;
États-Unis;;;;;;;;;;Harris Associates Securities, LP;Distribution;
États-Unis;;;;;;;;;;Harris Associates, Inc;Asset Management;
États-Unis;;;;;;;;;;Kobrick Funds, LLC;Asset Management;
États-Unis;;;;;;;;;;Loomis Sayles & Company, Inc;Asset Management;
États-Unis;;;;;;;;;;Loomis Sayles & Company, LP;Asset Management;
États-Unis;;;;;;;;;;Loomis Sayles Alpha, LLC;Asset Management;
États-Unis;;;;;;;;;;Loomis Sayles Distributors, Inc;Distribution;
États-Unis;;;;;;;;;;Loomis Sayles distributors, LP;Distribution;
États-Unis;;;;;;;;;;Loomis Sayles Solutions, Inc;Asset Management;
États-Unis;;;;;;;;;;Loomis Sayles Trust Company, LLC;Asset Management;
États-Unis;;;;;;;;;;MC Donnell;Asset Management;
États-Unis;;;;;;;;;;MC Management, Inc;Holding company;
États-Unis;;;;;;;;;;MC Management, LP;Holding company;
États-Unis;;;;;;;;;;MSR Trust;Real Estate Financing;
États-Unis;;;;;;;;;;NAM US;Asset Management;
États-Unis;;;;;;;;;;Natexis Funding USA LLC;Refinancing activities;
États-Unis;;;;;;;;;;Natexis US Finance corporation;Negotiable debt securities issues;
États-Unis;;;;;;;;;;Natixis ASG Holdings, Inc;Distribution;
États-Unis;;;;;;;;;;Natixis Caspian Private Equity LLC;Asset Management;
Etats-Unis;;;;;;;;;;Natixis Derivatives Inc;Trading firm;
Etats-Unis;;;;;;;;;;Natixis Financial Products LLC;Derivative transactions;
Etats-Unis;;;;;;;;;;Natixis Funding Corp;Other finance company;
Etats-Unis;;;;;;;;;;Natixis Global Asset management Holdings, LLC;Holding company;
Etats-Unis;;;;;;;;;;Natixis Global Asset Management, LLC;Holding company;
Etats-Unis;;;;;;;;;;Natixis Global Asset Management, LP;Holding company;
Etats-Unis;;;;;;;;;;Natixis Investment Corp;Portfolio management;
Etats-Unis;;;;;;;;;;Natixis New York;Finance company;
Etats-Unis;;;;;;;;;;Natixis North America LLC;Holding company;
Etats-Unis;;;;;;;;;;Natixis Private Equity Caspian IA, LP;private Equity;
Etats-Unis;;;;;;;;;;Natixis Private Equity Caspian IB, LP;private Equity;
Etats-Unis;;;;;;;;;;Natixis Real Estate Capital LLC;Real Estate Financing;
Etats-Unis;;;;;;;;;;Natixis Real Estate Holdings LLC;Real Estate Financing;
Etats-Unis;;;;;;;;;;Natixis Securities Americas LLC;Trading firm;
Etats-Unis;;;;;;;;;;Natixis US Holdings Inc;Holding company;
Etats-Unis;;;;;;;;;;NGAM Advisors, LP;Distribution;
Etats-Unis;;;;;;;;;;NGAM Distribution Corporation;Distribution;
Etats-Unis;;;;;;;;;;NGAM Distribution, LP;Distribution;
Etats-Unis;;;;;;;;;;NGAM International, LLC;Distribution;
Etats-Unis;;;;;;;;;;NH Philadelphia property, LP;Real Estate Financing;
Etats-Unis;;;;;;;;;;Plaza Square appartments owners LLC;Real Estate Financing;
États-Unis;;;;;;;;;;Reich & Tang Asset management, LLC;Asset Management;
États-Unis;;;;;;;;;;Reich & Tang Deposit Solutions, LLC;Asset Management;
États-Unis;;;;;;;;;;Reich & Tang Distributors, Inc;Distribution;
États-Unis;;;;;;;;;;Reich & Tang Services, Inc;Asset Management;
États-Unis;;;;;;;;;;Reich & Tang Stable Custody Group II LLC;Asset Management;
États-Unis;;;;;;;;;;Reich & Tang Stable Custody Group LLC;Asset Management;
États-Unis;;;;;;;;;;Seeyond multi asset allocation fund;Asset Management;
États-Unis;;;;;;;;;;Snyder capital management, Inc;Asset Management;
États-Unis;;;;;;;;;;Snyder capital management, LP;Asset Management;
États-Unis;;;;;;;;;;Vaughan Nelson Investment management, Inc;Asset Management;
États-Unis;;;;;;;;;;Vaughan Nelson Investment management, LP;Asset Management;
États-Unis;;;;;;;;;;Vaughan Nelson Trust company;Asset Management;
Fidji;2 ;-2 ;;;0 ;59 ;1 ;0 ;1 ;BRED Bank Fiji Ltd;Bank;
France;19249 ;4527 ;;;-1447 ;91682 ;413 ;0 ;413 ;1818 Immobilier;Office space;
France;;;;;;;;;;228 local savings companies;Cooperative shareholder;
France;;;;;;;;;;339 Etats-Unis;Office space;
France;;;;;;;;;;52 Mutual guarantee companies;guarantee company;
France;;;;;;;;;;99 route d'Espagne;Office space;
France;;;;;;;;;;ABP Alternatif offensif;Alternative funds of funds;
France;;;;;;;;;;ABP diversifié;Insurance UCITS;
France;;;;;;;;;;actifs immobiliers d'exploitation;Office space;
France;;;;;;;;;;adour services commun;Office space;
France;;;;;;;;;;AEW Coinvest;Asset Management;
France;;;;;;;;;;AEW Europe SA;Asset Management;
France;;;;;;;;;;AEW Europe SGP;Asset Management;
France;;;;;;;;;;AFOPEA;Office space;
France;;;;;;;;;;Albiant-IT;IT systems and software consulting;
France;;;;;;;;;;Alliance entreprendre;Asset Management;
France;;;;;;;;;;Apouticayre logements;Office space;
France;;;;;;;;;;Aries assurances;Insurance brokerage;
France;;;;;;;;;;Assurance Banque populaire prévoyance;Personal protection insurance;
France;;;;;;;;;;Assurance Banque populaire Vie;Life insurance;
France;;;;;;;;;;Assurances Banque populaire IARD;Non-life insurance;
France;;;;;;;;;;Atlantique plus;Holding company;
France;;;;;;;;;;Aussonelle de C;Office space;
France;;;;;;;;;;Axeltis SA;Holding company;
France;;;;;;;;;;Banque BCP SAS ;Bank;
France;;;;;;;;;;Banque Chaix;Bank;
France;;;;;;;;;;Banque de la réunion;Bank;
France;;;;;;;;;;Banque de Savoie;Bank;
France;;;;;;;;;;Banque des antilles françaises;Bank;
France;;;;;;;;;;Banque des îles Saint Pierre et Miquelon;Bank;
France;;;;;;;;;;Banque Dupuy, de Parseval;Bank;
France;;;;;;;;;;Banque Marze;Bank;
France;;;;;;;;;;Banque Monétaire et financière;Finance company;
France;;;;;;;;;;Banque Palatine;Bank;
France;;;;;;;;;;Banque populaire Alsace Lorraine Champagne;Bank;
France;;;;;;;;;;Banque populaire aquitaine centre atlantique;Bank;
France;;;;;;;;;;Banque populaire Bourgogne Franche-Comté;Bank;
France;;;;;;;;;;Banque Populaire Côte d'Azur;Bank;
France;;;;;;;;;;Banque Populaire de Loire et Lyonnais;Bank;
France;;;;;;;;;;Banque populaire de l'Ouest;Bank;
France;;;;;;;;;;Banque populaire des Alpes;Bank;
France;;;;;;;;;;Banque populaire du Massif Central;Bank;
France;;;;;;;;;;Banque populaire du Nord;Bank;
France;;;;;;;;;;Banque populaire du Sud;Bank;
France;;;;;;;;;;Banque populaire occitane;Bank;
France;;;;;;;;;;Banque populaire provençale et Corse;Bank;
France;;;;;;;;;;Banque populaire rives de Paris;Bank;
France;;;;;;;;;;Banque populaire val de France;Bank;
France;;;;;;;;;;Banque privée 1818;Credit insitution;
France;;;;;;;;;;Bati Lease;Real estate leasing;
France;;;;;;;;;;Bati Lease-Invest;Office space;
France;;;;;;;;;;Batimap;Non real estate leasing;
France;;;;;;;;;;Batiroc Bretagne Pays de Loire;Real estate and non real estate Leasing;
France;;;;;;;;;;BCEF 64;Office space;
France;;;;;;;;;;Beaulieu Immo;Office space;
France;;;;;;;;;;Bercy Gestion Finance;Debt collection;
France;;;;;;;;;;Bercy Patrimoine;Real estate investment;
France;;;;;;;;;;Bergonion;Office space;
France;;;;;;;;;;Bic Bred;Bank;
France;;;;;;;;;;Bleu Résidence Lormont;Office space;
France;;;;;;;;;;Bordelongue Godeas;Office space;
France;;;;;;;;;;BPCE achats;Services company;
France;;;;;;;;;;BPCE APS;Service provider;
France;;;;;;;;;;BPCE assurances;Insurance company;
France;;;;;;;;;;BPCE Home loans;Funding;
France;;;;;;;;;;BPCE Immobilier exploitation;Real estate investment;
France;;;;;;;;;;BPCE International et outre-mer;Specialized credit insitution;
France;;;;;;;;;;BPCE Master Home loans Demut;FCT;
France;;;;;;;;;;BPCE Master Home loans FCT;FCT;
France;;;;;;;;;;BPCE SA;Holding company;
France;;;;;;;;;;BPCE services financiers;Services company;
France;;;;;;;;;;BPCE sfh;Funding;
France;;;;;;;;;;BP covered bonds;Funding;
France;;;;;;;;;;BP Développement;Private Equity;
France;;;;;;;;;;BPA atouts participations;Private Equity;
France;;;;;;;;;;BRED Cofilease;Non real estate leasing;
France;;;;;;;;;;BRED Gestion;Bank;
France;;;;;;;;;;BRED-Banque populaire;Bank;
France;;;;;;;;;;BTP Banque;Bank;
France;;;;;;;;;;BTP Capital Conseil;Financial investment advisory services;
France;;;;;;;;;;BTP Capital investment;Private Equity;
France;;;;;;;;;;Burodin;Office space;
France;;;;;;;;;;Cadec;Private Equity;Mise en équivalence
France;;;;;;;;;;Caisse de Garantie immobilière du Bâtiment;Insurance;Mise en équivalence
France;;;;;;;;;;Caisse d'Epargne Alsace;Bank;
France;;;;;;;;;;Caisse d'Epargne Aquitaine Poitou Charentes;Bank;
France;;;;;;;;;;Caisse d'Epargne Auvergne et Limousin;Bank;
France;;;;;;;;;;Caisse d'Epargne Bourgogne Franche-Comté;Bank;
France;;;;;;;;;;Caisse d'Epargne Bretagne Pays de Loire;Bank;
France;;;;;;;;;;Caisse d'Epargne Côte d'Azur;Bank;
France;;;;;;;;;;Caisse d'Epargne Ile de France;Bank;
France;;;;;;;;;;Caisse d'Epargne Languedoc Roussillon;Bank;
France;;;;;;;;;;Caisse d'Epargne Loire Centre;Bank;
France;;;;;;;;;;Caisse d'Epargne Loire Drôme Ardèche;Bank;
France;;;;;;;;;;Caisse d'Epargne Lorraine Champagne Ardèche;Bank;
France;;;;;;;;;;Caisse d'Epargne Nord France Europe;Bank;
France;;;;;;;;;;Caisse d'Epargne Normandie;Bank;
France;;;;;;;;;;Caisse d'Epargne Picardie;Bank;
France;;;;;;;;;;Caisse d'Epargne Provence Alpes Corse;Bank;
France;;;;;;;;;;Caisse d'Epargne Rhône Alpes;Bank;
France;;;;;;;;;;Caisse d'Epargne de Midi-Pyrénées;Bank;
France;;;;;;;;;;Caisse régionale Crédit Maritime Atlantique;Bank;
France;;;;;;;;;;Caisse régionale Crédit Maritime Bretagne Normandie;Bank;
France;;;;;;;;;;Caisse Régionale Crédit Maritime de Méditerranée;Bank;
France;;;;;;;;;;Caisse Régionale Crédit Maritime Région Nord;Bank;
France;;;;;;;;;;Caisse Régionale Crédit Maritime régional Sud-Ouest;Bank;
France;;;;;;;;;;Caisse Solidaire;Finance company;
France;;;;;;;;;;Capi court terme n°1;Private Equity;
France;;;;;;;;;;Capitole Finance ;Non real estate leasing;
France;;;;;;;;;;Casden - Banque populaire;Bank;
France;;;;;;;;;;CE holding promotion;Holding company;
France;;;;;;;;;;CEBIM;Holding company;
France;;;;;;;;;;CELIMMO SARL;Real estate investment;
France;;;;;;;;;;CEPAIM SA;Office space;
France;;;;;;;;;;CFG comptoire financier de garantie;Guarantee company;
France;;;;;;;;;;CGW gestion d'actifs;Asset Management;
France;;;;;;;;;;CICOBAIL;Real estate leasing;
France;;;;;;;;;;Click and trust;Data processing;
France;;;;;;;;;;CNP assurances (group);Insurance;Mise en équivalence
France;;;;;;;;;;Co-assur;Insurance brokerage advisory services;
France;;;;;;;;;;Coface holding SAS;Holding company;
France;;;;;;;;;;Coface SA;Credit insurance and related services;
France;;;;;;;;;;Coface Service;Information;
France;;;;;;;;;;Cofacredit;Credit insurance and related services;
France;;;;;;;;;;Cofeg;consulting;
France;;;;;;;;;;Cofibred;Holding company;
France;;;;;;;;;;Cofimab;Real estate agent;
France;;;;;;;;;;Cofinpar;Credit insurance and related services;
France;;;;;;;;;;Cogeri;Credit information and debt recovery;
France;;;;;;;;;;Compagnie de financement foncier;Finance company;
France;;;;;;;;;;Compagnie européenne de garanties et cautions;Insurance;
France;;;;;;;;;;Conservateur finance;Fund management;Mise en équivalence
France;;;;;;;;;;Contango trading SA;Securitization vehicle;
France;;;;;;;;;;Coté gare;Office space;
France;;;;;;;;;;Crédit commercial du Sud Ouest;Bank;
France;;;;;;;;;;Crédit coopératif;Bank;
France;;;;;;;;;;Crédit foncier de France;Bank;
France;;;;;;;;;;Crédit foncier expertise;Real estate consulting;
France;;;;;;;;;;Crédit foncier immobilier;Office space;
France;;;;;;;;;;Crédit maritime outre-mer;Bank;
France;;;;;;;;;;Creponord;Real estate and non real estate leasing;
France;;;;;;;;;;Cristal immo;office space;
France;;;;;;;;;;Darius Capital Partners SAS;Financial investment advisory services;
France;;;;;;;;;;De portzamparc;Private Equity;Mise en équivalence
France;;;;;;;;;;Delessert FCP 2DEC REGPT;BCPE Guarantee and Solidarity fund;
France;;;;;;;;;;Dorval Finance;Asset management;
France;;;;;;;;;;ECOFI investissement;Portfolio management;
France;;;;;;;;;;EDEL;Bank;Mise en équivalence
France;;;;;;;;;;ESFIN;Private Equity;
France;;;;;;;;;;ESFIN Gestion;Portfolio management;
France;;;;;;;;;;Euro capital;Private Equity;
France;;;;;;;;;;Euro private Equity France;Asset Management;
France;;;;;;;;;;Euroscribe;Real estate and non real estate leasing;Mise en équivalence
France;;;;;;;;;;Euroscribe SAS;Real estate and non real estate leasing;
France;;;;;;;;;;Eurotertia;Office space;
France;;;;;;;;;;Expansinvest;Private Equity;
France;;;;;;;;;;Expanso investissements;Private Equity;
France;;;;;;;;;;FCC Amaren II;French securization fund (FCT);
France;;;;;;;;;;FCC Elide;French securization fund (FCT);
France;;;;;;;;;;FCPR FIDEPPP;Public-private partnership financing;
France;;;;;;;;;;FCT Eridan;French securization fund (FCT);
France;;;;;;;;;;FCT Fast;French securization fund (FCT);
France;;;;;;;;;;FCT Natixis coporate Financement;Securitization vehicle;
France;;;;;;;;;;FCT Natixis export Credit Agency;Securitization vehicle;
France;;;;;;;;;;FCT Partimmo 05/2003;French securization fund (FCT);
France;;;;;;;;;;FCT Partimmo 11/2003;French securization fund (FCT);
France;;;;;;;;;;Fct Vega;French securization fund (FCT);
France;;;;;;;;;;FCT zèbre 1;French securization fund (FCT);
France;;;;;;;;;;FCT Zèbre 2006-1;French securization fund (FCT);
France;;;;;;;;;;FCT Zèbre Two;French securization fund (FCT);
France;;;;;;;;;;Feria Paulmy;Office space;
France;;;;;;;;;;Filiales Loci;Real estate and non real estate leasing;
France;;;;;;;;;;Fimipar;Accounts receivable purchasing;
France;;;;;;;;;;Financière de la BP Occitane;Holding company;
France;;;;;;;;;;Financière participation BPS;Holding company;
France;;;;;;;;;;Fipromer;Brokerage and investment services;
France;;;;;;;;;;Foncier participations;Holding company;
France;;;;;;;;;;Foncière invest;Office space;
France;;;;;;;;;;Foncière Victor Hugo;Holding company;
France;;;;;;;;;;Foncières d'Evreux;Office space;
France;;;;;;;;;;Fonds Colombes;UCITS;
France;;;;;;;;;;France Active garantie;Finance company;Mise en équivalence
France;;;;;;;;;;Fransa Bank;Bank;Mise en équivalence
France;;;;;;;;;;Fructifoncier;Insurance real estate investments;
France;;;;;;;;;;Fructifonds profil 3;insurance UCITS;
France;;;;;;;;;;Fructifonds profil 6;insurance UCITS;
France;;;;;;;;;;Fructifonds profil 9;Insurance UCITS;
France;;;;;;;;;;G immo;Office space;
France;;;;;;;;;;G102;office space;
France;;;;;;;;;;Garibaldi Capital Developpement;Holding company;
France;;;;;;;;;;GCE Capital;Private Equity;
France;;;;;;;;;;GCE Coinvest;Holding company;
France;;;;;;;;;;GCE covered bonds;Funding;
France;;;;;;;;;;GCE participations;Holding company;
France;;;;;;;;;;GIE CE syndication risques;Guarantee company;
France;;;;;;;;;;Gramat balard;Office space;
France;;;;;;;;;;Groupe Nexity;Office space;Mise en équivalence
France;;;;;;;;;;Groupement de Fait;Services company;
France;;;;;;;;;;Habitat en région services;Holding company;
France;;;;;;;;;;Holassure;Holding company;
France;;;;;;;;;;IBP Investissement;Office space;
France;;;;;;;;;;IJCOF corporate;Recovery of receivables;
France;;;;;;;;;;Immo Sport;Office space;
France;;;;;;;;;;Immocarso SNC;Real estate investment;
France;;;;;;;;;;Incity;office space;
France;;;;;;;;;;Informatique banques populaires;IT services;
France;;;;;;;;;;Ingénierie et développement;Holding company;
France;;;;;;;;;;Ingepar;Financial investment advisory services;
France;;;;;;;;;;Intercoop;Real estate leasing;
France;;;;;;;;;;Intercoop location;Office space;
France;;;;;;;;;;IRD Nord-Pas-de-Calais;Private Equity;Mise en équivalence
France;;;;;;;;;;IT-CE;IT services;
France;;;;;;;;;;Kompass International Neuenschwander;Holding company;
France;;;;;;;;;;Lac Valley;Office space;
France;;;;;;;;;;Langlade services;Office space;
France;;;;;;;;;;Lanta production;Office space;
France;;;;;;;;;;Lease Expansion;Operational IT Leasing;
France;;;;;;;;;;Leviseo;Office space;
France;;;;;;;;;;Locindus;Real estate and non real estate leasing;
France;;;;;;;;;;Ludovic de Besse;Cooperative shareholder;
France;;;;;;;;;;Maison France confort Prou Investissements;Real estate developments;Mise en équivalence
France;;;;;;;;;;Metro Green urban;Office space;
France;;;;;;;;;;Midi commerces;Office space;
France;;;;;;;;;;Midi foncières;Office space;
France;;;;;;;;;;Midi mixt;Office space;
France;;;;;;;;;;Midi pyrénées placement;Mutual fund;
France;;;;;;;;;;Mifcos;Real estate invesment;
France;;;;;;;;;;Mirova environment and infrastructure;Venture capital fund management;
France;;;;;;;;;;Moninfo;Electronic payment;Mise en équivalence
France;;;;;;;;;;Montaudran PLS;Office space;
France;;;;;;;;;;Multicroissance SAS;Portfolio management;
France;;;;;;;;;;Muracef;Mutual insurance;
France;;;;;;;;;;Muret Activités;Office space;
France;;;;;;;;;;Naléa;Securitization vehicle;
France;;;;;;;;;;Nami AEW Europe;Asset Management;
France;;;;;;;;;;Nami Investment;Insurance real estate investments;
France;;;;;;;;;;Natixis Altair IT shared services;IT services;
France;;;;;;;;;;Natixis asset management;Asset Management;
France;;;;;;;;;;Natixis asset management finance;Holding company;
France;;;;;;;;;;Natixis assurances;Insurance companies'holding company;
France;;;;;;;;;;Natixis bail;Real estate leasing;
France;;;;;;;;;;Natixis car lease;Long-term vehicle leasing;
France;;;;;;;;;;Natixis Coficine;Finance company (audio-visual);
France;;;;;;;;;;Natixis consumer finance;Holding company;
France;;;;;;;;;;Natixis consumer finance IT;Consumer credit;
France;;;;;;;;;;Natixis Energeco;Non real estate leasing;
France;;;;;;;;;;Natixis Factor;Factoring;
France;;;;;;;;;;Natixis Fiancement;Consumer credit;
France;;;;;;;;;;Natixis Foncière SA;Real estate investment;
France;;;;;;;;;;Natixis formation épargne financière;Holding company;
France;;;;;;;;;;Natixis Funding;Secondary debt market;
France;;;;;;;;;;Natixis Global asset management;Holding company;
France;;;;;;;;;;Natixis Global asset management participations 1;Holding company;
France;;;;;;;;;;Natixis Global asset management participations 3;Holding company;
France;;;;;;;;;;Natixis HCP;Holding company;
France;;;;;;;;;;Natixis immo développement;Home real estate development;
France;;;;;;;;;;Natixis Immo exploitation;Office space;
France;;;;;;;;;;Natixis innov;Holding company;
France;;;;;;;;;;Natixis interépargne;Employee savings account management;
France;;;;;;;;;;Natixis intertitres;Service vouchers;
France;;;;;;;;;;Natixis lease;Non real estate leasing;
France;;;;;;;;;;Natixis lease immo;real estate leasing;
France;;;;;;;;;;Natixis life;Life insurance;
France;;;;;;;;;;Natixis LLD;Long-term vehicle leasing;
France;;;;;;;;;;Natixis Marco;investment company;
France;;;;;;;;;;Natixis Paiements;Bank services;
France;;;;;;;;;;Natixis Pramex international;International development and consulting services;
France;;;;;;;;;;Natixis private equity;Private equity;
France;;;;;;;;;;Natixis SA;Holding company;
France;;;;;;;;;;Natixis ultra short term bonds plus;Insurance UCITS;
France;;;;;;;;;;Naxicap partners;Venture capital fund management;
France;;;;;;;;;;Naxicap rendement 20182;Private equity;
France;;;;;;;;;;NGAM distribution, France branch;Distribution;
France;;;;;;;;;;Nordri;Securitization vehicle;
