Pays;PNB (m€);résultat courant avant impôt;impôt courant;impôt différé;impôt sur bénéf ;Effectifs (ETP);Filiales CBCR;Filiales Périmètre en +;Total Filiales;Filiales;Activité;Mouvement de périmètre;Méthode
Allemagne;;;;;;;;;;Commerz Finanz;Personal Finance;;
Allemagne;;;;;;;;;;Gesellschaft für Capital & Vermögensverwaltung Gmbh (GCV);Personal Finance;;
Allemagne;;;;;;;;;;Inkasso Kodat Gmbh & Co KG;Personal Finance;;
Allemagne;;;;;;;;;;Von Essen GmbH & Co. KG Bankgesellschaft;Personal Finance;;
Allemagne;;;;;;;;;;BNP Paribas Beteiligungsholding AG;Personal Investors;Aquisition, prise de contrôle ou d'influence notable (entrée);
Allemagne;;;;;;;;;;Cortal Consors (succ. Allemagne);Personal Investors;Fusion absorption, transmission universelle du Patrimoine (sortie);
Allemagne;;;;;;;;;;DAB Bank AG;Personal Investors;Acquisition, prise de contrôle ou d'influence notable (entrée);
Allemagne;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Allemagne) ;Securities Services;;
Allemagne;;;;;;;;;;BNP Paribas Real Estate Consult GmbH;Services immobiliers;;
Allemagne;;;;;;;;;;BNP Paribas Real Estate GmbH;Services immobiliers;;
Allemagne;;;;;;;;;;BNP Paribas Real Estate Holding GmbH;Services immobiliers;;
Allemagne;;;;;;;;;;BNP Paribas Real Estate Investment Management Germany GmbH;Services immobiliers;;
Allemagne;;;;;;;;;;BNP Paribas Real Estate property Management GmbH;Services immobiliers;;
Arabie Saoudite;14 ;5 ;-1 ;0 ;-1 ;35 ;2 ;0 ;2 ;BNP Paribas Investment Company KSA;Corporate and Investment Banking;;
Arabie Saoudite;;;;;;;;;;BNP Paribas SA (succ. Arabie Saoudite);Corporate and Investment Banking;;
Argentine;101 ;63 ;-18 ;-5 ;-23 ;223 ;6 ;0 ;6 ;Cardif Seguros SA;Assurance;;
Argentine;;;;;;;;;;BNP Paribas SA (succ. Argentine);Corporate and Investment Banking;;
Argentine;;;;;;;;;;BNP Paribas investment Partners Argentina SA;Investment Partners;Franchissement d'un des seuils tels que définis par le Groupe;
Argentine;;;;;;;;;;Banco Cetelem Argentina SA;Personal Finance;;
Argentine;;;;;;;;;;Banco de Servicios Financieros SA;Personal Finance;;
Argentine;;;;;;;;;;Fideicomiso Financiero Cetelem II, III et IV;Personal Finance;Création d'entité (entrée);
Australie;146 ;58 ;-5 ;-14 ;-19 ;458 ;6 ;0 ;6 ;BNP Pacific (Australia) Ltd;Corporate and Investment Banking;;
Australie;;;;;;;;;;BNP Paribas SA (succ. Australie);Corporate and Investment Banking;;
Australie;;;;;;;;;;BNP Paribas Investment Partners (Australia) Holdings Pty Ltd;Investment Partners;;
Australie;;;;;;;;;;BNP Paribas Investment Partners (Australia) Ltd;Investment Partners;;
Australie;;;;;;;;;;BNP Paribas Fund Services Australasia Pty Ltd;Securities Services;;
Australie;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Australie);Securities Services;;
Autriche;14 ;5 ;-1 ;0 ;-1 ;170 ;8 ;0 ;8 ;Arval Austria GmbH;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Autriche;;;;;;;;;;Cardif Assurance Vie (succ. Autriche);Assurance;;
Autriche;;;;;;;;;;Cardif Assurances Risques Divers (succ. Autriche);Assurance;;
Autriche;;;;;;;;;;BNP Paribas Fortis (succ. Autriche);Corporate and Investment Banking;;
Autriche;;;;;;;;;;BNP Paribas Asset Management SAS (succ. Autriche);Investment Partners;;
Autriche;;;;;;;;;;All in One Vermietung GmbH;Leasing solutions;;
Autriche;;;;;;;;;;CNH industrial Capital Europe GmbH (ex- CNH Capital Europe GmbH);Leasing solutions;;
Autriche;;;;;;;;;;Direktanlage AT AG;Personal investors;Acquisition, prise de contrôle ou d'influence notable (entrée);
Bahreïn;54 ;-31 ;0 ;0 ;0 ;360 ;2 ;0 ;2 ;BNP Paribas SA (succ. Bahrein);Corporate and Investment Banking;;
Bahreïn;;;;;;;;;;Turk Ekonomi Bankasi AS (succ. Bahreïn);Europe Méditerranée;;
Belgique;4514 ;1393 ;-31 ;-441 ;-472 ;16383 ;41 ;0 ;41 ;Arval Belgium SA;Arval;;
Belgique;;;;;;;;;;AG Insurance (Groupe);Assurance;;
Belgique;;;;;;;;;;Cardif Assurance Vie (succ. Belgique);Assurance;;
Belgique;;;;;;;;;;Cardif Assurance Risques Divers (succ. Belgique);Assurance;;
Belgique;;;;;;;;;;Cardif Leven;Assurance;;
Belgique;;;;;;;;;;F&B Insurance Holdings SA (Groupe);Assurance;;
Belgique;;;;;;;;;;Alpha Card SCRL (Groupe);Banque de détail;;ME
Belgique;;;;;;;;;;BASS Master Issuer NV;Banque de détail;;
Belgique;;;;;;;;;;Belgian Mobile Wallet;Banque de détail;cession partielle + dilution;ME
Belgique;;;;;;;;;;BNP Paribas Fortis;Banque de détail;;ME
Belgique;;;;;;;;;;BNP Paribas Fortis Factor NV;Banque de détail;;
Belgique;;;;;;;;;;Bpost banque;Banque de détail;;ME
Belgique;;;;;;;;;;Demetris NV;Banque de détail;;entité contrôlée faisant l'objet d'une consolidation simplifiée en raison de son caractère peu significatif
Belgique;;;;;;;;;;Esmée Master issuer;Banque de détail;;
Belgique;;;;;;;;;;Immobilière Sauvenière SA;Banque de détail;;entité contrôlée faisant l'objet d'une consolidation simplifiée en raison de son caractère peu significatif
Belgique;;;;;;;;;;BNP Paribas SA (succ. Belgique);Corporate and Investment Banking;;
Belgique;;;;;;;;;;FScholen;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le groupe (entrée);
Belgique;;;;;;;;;;BNP Paribas investment Partners BE Holding;Investment Parners;;
Belgique;;;;;;;;;;BNP Paribas Investment Partners Belgium;Investment Partners;;
Belgique;;;;;;;;;;Ace Equipment Leasing;Leasing solutions;;
Belgique;;;;;;;;;;Ace Leasing;Leasing solutions;Fusion absorption, transmission universelle de patrimoine (sortie);
Belgique;;;;;;;;;;BNP Paribas Lease Group SA Belgium;Leasing Solutions;;
Belgique;;;;;;;;;;CNH industrial Capital Europe (succ. Belgique);Leasing solutions;;
Belgique;;;;;;;;;;ES-Finance;Leasing solutions;;
Belgique;;;;;;;;;;Fortis Lease Belgium;Leasing solutions;;
Belgique;;;;;;;;;;Fortis Lease Car & Truck;Leasing solutions;Fusion absorption, transmission universelle de patrimoine (sortie);
Belgique;;;;;;;;;;Alpha Crédit SA;Personal Finance;;
Belgique;;;;;;;;;;Eos Aremas Belgium SA;Personal Finance;;
Belgique;;;;;;;;;;Nissan Finance Belgium NV;Personal Finance;Fusion absoprtion, transmission universelle du patrimoine (sortie);
Belgique;;;;;;;;;;Cobema;Private Equity (BNP Paribas Capital);;
Belgique;;;;;;;;;;Fortis Private Equity Belgium NV;Private Equity (BNP Paribas Capital);;
Belgique;;;;;;;;;;Fortis Private Equity Expansion Belgium NV;Private Equity (BNP Paribas Capital);;
Belgique;;;;;;;;;;Fortis Private Equity Management Belgium;Private Equity (BNP Paribas Capital);Franchissement d'un des seuils tels que définis par le Groupe (entrée);
Belgique;;;;;;;;;;Fortis Private Equity Venture Belgium SA;Private Equity (BNP Paribas Capital);Fusion absorption, transmission universelle du Patrimoine (sortie);
Belgique;;;;;;;;;;Gepeco;Private Equity (BNP Paribas Capital);Fusion absorption, transmission universelle du Patrimoine (sortie);
Belgique;;;;;;;;;;BNP Paribas Securities Services - BP2S (succ. Belgique);Securities Services;;
Belgique;;;;;;;;;;BNP Paribas Real Estate Advisory Belgium SA;Services immobiliers;;
Belgique;;;;;;;;;;BNP Paribas Real Estate Holding Benelux SA ;Services immobiliers;;
Belgique;;;;;;;;;;BNP Paribas Real Estate investment Management Belgium;Services immobiliers;;
Belgique;;;;;;;;;;BNP Paribas Real Estate Property Management Belgium;Services immobiliers;;
Belgique;;;;;;;;;;Sagip;Sociétés de portefeuille et autres filiales;;
Bermudes;;;;;;;1 ;0 ;1 ;Cronos Holding Company Ltd (Groupe);Corporate and investment Banking;Mise en équivalence (30%);
Botswana;0 ;0 ;0 ;0 ;0 ;9 ;1 ;0 ;1 ;RCS Botswana Propreietary Ltd;Personal Finance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Brésil;625 ;214 ;-87 ;10 ;-77 ;1280 ;14 ;0 ;14 ;Arval Brasil Limitada;Arval;;
Brésil;;;;;;;;;;Cardif do Brasil Seguros e Garantias;Assurance;;
Brésil;;;;;;;;;;Cardif do Brasil Vida e Previdencia SA;Assurance;;
Brésil;;;;;;;;;;Luizaseg;Assurance;;
Brésil;;;;;;;;;;NCVP Participacoes Societarias SA;Assurance;;
Brésil;;;;;;;;;;Banco BNP Paribas Brasil SA;Corporate and Investment Banking;;
Brésil;;;;;;;;;;Banco Cetelem SA (ex- Banco BGN SA);Personal Finance;;
Brésil;;;;;;;;;;BNP Paribas EQD Brazil Fund Fundo Invest Multimercado;Corporate and Investment Banking;;
Brésil;;;;;;;;;;BNP Paribas proprietario Fundo de investimento Multimercado;Corporate and Investment Banking;;
Brésil;;;;;;;;;;BNP Paribas Asset Management Brasil Ltda;Investment Partners;;
Brésil;;;;;;;;;;BGN Mercantil E Servicios Ltda;Personal Finance;;
Brésil;;;;;;;;;;Cetelem America Ltda;Personal Finance;;
Brésil;;;;;;;;;;Cetelem Brasil SA;Personal Finance;Fusion absorption, Transmission universelle de patrimoine (sortie);
Brésil;;;;;;;;;;Cetelem Servicos Ltda;Personal Finance;;
Bulgarie;54 ;17 ;-1 ;0 ;-1 ;1055 ;5 ;0 ;5 ;Cardif Assurance Vie (succ. Bulgarie);Assurance;;
Bulgarie;;;;;;;;;;Cardif Assurances Risques Divers (succ. Bulgarie);Assurance;;
Bulgarie;;;;;;;;;;BNP Paribas SA (succ. Bulgarie);Corporate and Investment Banking;;
Bulgarie;;;;;;;;;;Direct Services ;Personal Finance;;
Bulgarie;;;;;;;;;;BNP Paribas Personal Finance EAD;Personal Finance;;
Burkina Faso;22 ;5 ;-1 ;0 ;-1 ;295 ;1 ;0 ;1 ;Banque Internationale du commerce et de l'industrie Burkina Faso;Europe Méditerranée;;
Canada;53 ;28 ;-7 ;-2 ;-9 ;279 ;4 ;0 ;4 ;BNP Paribas (Canada) Valeurs mobilières;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le groupe (entrée);
Canada;;;;;;;;;;BNP Paribas Canada;Corporate and Investment Banking;;
Canada;;;;;;;;;;BNP Paribas Energy Trading Canada Corp;Corporate and Investment Banking;;
Canada;;;;;;;;;;BNP Paribas SA (succ. Canada);Corporate and Investment Banking;Création d'entité;
Chili;54 ;32 ;-1 ;-7 ;-8 ;318 ;4 ;0 ;4 ;BNP Paribas Cardif Seguros de Vida SA;Assurance;;
Chili;;;;;;;;;;BNP Paribas Cardif Seguros Generales SA;Assurance;;
Chili;;;;;;;;;;Cardif Extension de Garantia y Asistencia Limitada;Assurance;Franchissement d'un des seuils tels que définis par le Groupe (entrée);
Chili;;;;;;;;;;Banco Estado Administradora General de Fondos;Investment Partners;;
Chine;258 ;180 ;-37 ;-6 ;-43 ;388 ;8 ;0 ;8 ;Arval China Co Ltd;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Chine;;;;;;;;;;BOB - Cardif Life Insurance Company Ltd;Assurance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Chine;;;;;;;;;;BNP Paribas (China) Ltd;Corporate and Investment Banking;;
Chine;;;;;;;;;;BNP Paribas Commodities Trading (Shangaï) Co Ltd;Corporate and Investment Banking;Création d'entité (entrée);
Chine;;;;;;;;;;BNP Paribas SA (succ. Chine);Corporate and Investment Banking;Cessation d'activité;
Chine;;;;;;;;;;Banque de Nankin;Europe Méditerranée;;
Chine;;;;;;;;;;Haitong - Fortis Private Equity Fund Management Co. Ltd;Investment Partners;;
Chine;;;;;;;;;;HFT Investment Management Co Ltd (Groupe);Investment Partners;;
Colombie;23 ;1 ;-2 ;-1 ;-3 ;241 ;2 ;0 ;2 ;Cardif Colombia Suguros Generales;Assurance;;
Colombie;;;;;;;;;;BNP Paribas Colombia Corporation Financiera SA;Corporate and Investment Banking;;
Corée du Sud;87 ;16 ;-2 ;-3 ;-5 ;343 ;5 ;0 ;5 ;BNP Paribas General Insurance Co Ltd;Assurance;Acquisition, prise de contrôle ou d'influence notable (entrée);
Corée du Sud;;;;;;;;;;Cardif Life Insurance Co. Ltd;Assurance;;
Corée du Sud;;;;;;;;;;BNP Paribas SA (succ. République de Corée);Corporate and Investment Banking;;
Corée du Sud;;;;;;;;;;BNP Paribas Securities Korea Company Ltd;Corporate and Investment Banking;;
Corée du Sud;;;;;;;;;;Shinhan BNP Paribas Asset Management Co Ltd;Investment Partners;;
Côte d'Ivoire;58 ;18 ;-3 ;0 ;-3 ;568 ;1 ;0 ;1 ;Banque Internationale du commerce et de l'industrie Côte d'Ivoire;Europe Méditerranée;;
Danemark;23 ;6 ;-2 ;-6 ;-8 ;141 ;6 ;0 ;6 ;Arval A/S;Arval;;Entité contrôlée faisant l'objet d'une consolidation simplifiée par mise en équivalence en raison de leur caractère peu significatif
Danemark;;;;;;;;;;Cardif Forsakring AB (succ. Danemark);Assurance;;
Danemark;;;;;;;;;;Cardif livforsakring AB (succ. Danemark);Assurance;franchissement d'un des seuils tels que définis par le Groupe (entrée);
Danemark;;;;;;;;;;BNP Paribas Fortis (succ. Danemark);Corporate and Investment Banking;;
Danemark;;;;;;;;;;Alfred Berg Asset Management AB (succ. Danemark);Investment Partners;;
Danemark;;;;;;;;;;EkspresBank;Personal Finance;Aquisition complémentaire (variation de taux) + D5;
Émirats Arabes Unis;31 ;16 ;-7 ;1 ;-6 ;100 ;2 ;0 ;2 ;BNP Paribas Real Estate Advisory & Property Management LLC;Services immobiliers;;
Émirats Arabes Unis;;;;;;;;;;BNP Paribas SA (succ. Emirats Arabes Unis);Corporate and Investment Banking;;
Espagne;763 ;406 ;-152 ;29 ;-123 ;2390 ;29 ;0 ;29 ;Arval Service Lease SA;Arval;;
Espagne;;;;;;;;;;Cardif Assurance Vie (succ. Espagne);Assurance;;
Espagne;;;;;;;;;;Cardif Assurances Risques Divers (succ. Espagne);Assurance;;
Espagne;;;;;;;;;;BNP Paribas Factor (succ. Espagne);Banque de détail;;
Espagne;;;;;;;;;;BNP Paribas Fortis (succ. Espagne);Corporate and Investment Banking;;
Espagne;;;;;;;;;;BNP Paribas SA (succ. Espagne);Corporate and Investment Banking;;
Espagne;;;;;;;;;;Ribera del Loira Arbitrage;Corporate and Investment Banking;Entité déconsolidée car devenue inférieure aux seuils définis par le Groupe (sortie);
Espagne;;;;;;;;;;SC Nueva Condo Murcia SL;Corporate and Investment Banking;;
Espagne;;;;;;;;;;BNP Paribas Lease Group BPLG (succ. Espagne);Leasing solutions;;
Espagne;;;;;;;;;;Claas Financial Services (succ. Espagne);Leasing solutions;;
Espagne;;;;;;;;;;CNH Industrial Capital Europe (succ. Espagne);Leasing solutions;;
Espagne;;;;;;;;;;Fortis Lease Iberia SA;Leasing solutions;;
Espagne;;;;;;;;;;JCB Finance (succ. Espagne);Leasing solutions;Cessation d'activité (dont dissolution, liquidation);
Espagne;;;;;;;;;;Effico iberia SA;Personal Finance;;
Espagne;;;;;;;;;;Eurocredito EFC SA;Personal Finance;;
Espagne;;;;;;;;;;FCC U.C.I 5-18;Personal Finance;;
Espagne;;;;;;;;;;Fimesctic Expansion SA;Personal Finance;;
Espagne;;;;;;;;;;Servicios Financieros Carrefour EFC;Personal Finance;;
Espagne;;;;;;;;;;Union de Creditos Inmobiliaros - UCI (Groupe);Personal Finance;;
Espagne;;;;;;;;;;Banco Cetelem SA;Personal Finance ;;
Espagne;;;;;;;;;;Cortal Consors (succ. Espagne);Personal Investors;Fusion absorption, transmission universelle du Patrimoine (sortie);
Espagne;;;;;;;;;;BNP Paribas Securities Services - B2PS (succ. Espagne) ;Securities Services;;
Espagne;;;;;;;;;;BNP Paribas Real Estate Advisory Spain SA;Services immobiliers;;
Espagne;;;;;;;;;;BNP Paribas Real Estate Investment Management Spain SA;Services immobiliers;;
Espagne;;;;;;;;;;BNP Paribas Real Estate Property Management Spain SA;Services immobiliers;;
Espagne;;;;;;;;;;Meunier Hispania;Services immobiliers;;
Espagne;;;;;;;;;;Tasaciones Hipotecarias SA;Services immobiliers;cessation hors groupe, perte de contrôle ou perte d'influence notable (sortie);
Espagne;;;;;;;;;;Ejesur SA;Sociétés immobilières d'Exploitation;Entité déconsolidée car devenue inférieure aux seuils définis par le Groupe (sortie);
Espagne;;;;;;;;;;BNP Paribas Espana SA;Wealth Management ;acquisition complémentaire (variation de taux);
États-Unis;3452 ;724 ;-215 ;50 ;-165 ;14622 ;103 ;0 ;103 ;1897 Services Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Bancwest Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Bancwest Investment Services, Inc.;Banque de détail;;
États-Unis;;;;;;;;;;Bank of the West;Banque de détail;;
États-Unis;;;;;;;;;;Bank of the West Business Park Association LLC;Banque de détail;Entité déconsolidée car devenue inférieure aux seuils définis par le groupe;
États-Unis;;;;;;;;;;Bishop Sreet capital Management Corporation;Banque de détail;;
États-Unis;;;;;;;;;;BOW Auto receivables LLC;Banque de détail;Création d'entité (entrée);
États-Unis;;;;;;;;;;BOW Auto Trust LLC;Banque de détail;Création d'entité (entrée);
États-Unis;;;;;;;;;;BW Insurance Agency, Inc;Banque de détail;;
États-Unis;;;;;;;;;;Center Club, Inc;Banque de détail;;
États-Unis;;;;;;;;;;CFB Community Development corporation;Banque de détail;;
États-Unis;;;;;;;;;;Claas Financial Services LLC;Banque de détail;;
États-Unis;;;;;;;;;;Commercial Federal affordable Housing, Inc;Banque de détail;;
États-Unis;;;;;;;;;;Commercial Federal Community Development corporation;Banque de détail;;
États-Unis;;;;;;;;;;Commercial Federal Insurance Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Commercial Federal Investment Service Inc;Banque de détail;;
États-Unis;;;;;;;;;;Commercial Federal Realty Investors Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Commercial Federal Service Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Community Service, Inc;Banque de détail;;
États-Unis;;;;;;;;;;Equipment Lot FH;Banque de détail;;
États-Unis;;;;;;;;;;Equipment Lot Siemens 1998A - FH;Banque de détail;;
États-Unis;;;;;;;;;;Equity Lending Inc;Banque de détail;Cessation d'activité dont dissolution, liquidation (sortie);
États-Unis;;;;;;;;;;Essex Credit Corporation;Banque de détail;Fusion absportion, transmission universelle du patrimoine (sortie);
États-Unis;;;;;;;;;;FHB Guam Trust Co;Banque de détail;;
États-Unis;;;;;;;;;;FHL SPC One, Inc;Banque de détail;;
États-Unis;;;;;;;;;;First Bancorp;Banque de détail;;
États-Unis;;;;;;;;;;First Hawaïan Bank;Banque de détail;;
États-Unis;;;;;;;;;;First Hawaïan Capital 1;Banque de détail;;
États-Unis;;;;;;;;;;First Hawaïan leasing inc;Banque de détail;;
États-Unis;;;;;;;;;;First National Bancorporation;Banque de détail;;
États-Unis;;;;;;;;;;First Santa Clara Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Glendale Corporate Center Acquisition LLC;Banque de détail;;
États-Unis;;;;;;;;;;LACMTA Rail statutory Trust (FH1);Banque de détail;;
États-Unis;;;;;;;;;;Lexington Blue LLC;Banque de détail;;
États-Unis;;;;;;;;;;Liberty Leasing company;Banque de détail;;
États-Unis;;;;;;;;;;MNCRC Equipement Lot ;Banque de détail;;
États-Unis;;;;;;;;;;Mountain Falls Acquisition Corporation;Banque de détail;;
États-Unis;;;;;;;;;;Real Estate Delivery 2 Inc;Banque de détail;;
États-Unis;;;;;;;;;;Riverwalk village Three Holdings LLC;Banque de détail;;
États-Unis;;;;;;;;;;Santa Rita Town Homes Acquisition LLC;Banque de détail;;
États-Unis;;;;;;;;;;Southwest Airlines 1993 Trust N363 SW;Banque de détail;;
États-Unis;;;;;;;;;;ST 2001 FH-1;Banque de détail;;
États-Unis;;;;;;;;;;SWB 99-1;Banque de détail;;
États-Unis;;;;;;;;;;The bankers Club, Inc;Banque de détail;;
États-Unis;;;;;;;;;;Ursus Real Estate, Inc;Banque de détail;;
États-Unis;;;;;;;;;;VTA 1998 - FH;Banque de détail;;
États-Unis;;;;;;;;;;Banexi Holding Corporation;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Arbitrage (succ. Etats-Unis);Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Capital Services Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas CC Inc (ex - BNP Paribas Capital Corporation Inc);Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Energy Trading GP;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Energy Trading Holdings Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Energy Trading LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Finance Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Fortis (succ. Etats-Unis);Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas FS LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Leasing corporation;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Mortgage corporation;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas North America Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Prime Brokerage Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas RCC Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas SA (succ. Etats-Unis);Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas Securities Corporation;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Adonis LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG BMC Select LLC;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation (sortie);
États-Unis;;;;;;;;;;BNP Paribas VPG Brookfin LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Brookline Cre LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG CB LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG CT Holdings LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG EDMC Holdings LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Freedom Communications LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Lake Butler LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Legacy Cabinets LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Marc IV LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Master LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Medianews Group LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG MGM LLC;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation (sortie);
États-Unis;;;;;;;;;;BNP Paribas VPG Modern Luxury Media LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG  Northstar LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VGP PCMC LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Reader's Digest association LLC;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation (sortie);
États-Unis;;;;;;;;;;BNP Paribas VPG SBX Holdings LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG SDI Media Holdings LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;BNP Paribas VPG Semgroup LLC;Corporate and Investment Banking;Cessation d'activité dont dissolution, liquidation (sortie);
États-Unis;;;;;;;;;;BNP Paribas VPG Titan outdoor LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;FB Transportation Capital LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;Fortis Funding LLC;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;French American Banking Corporation - F.A.B.C;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;FSI Holdings Inc;Corporate and Investment Banking;;
États-Unis;;;;;;;;;;Madison Arbor LLC;Corporate and Investment Banking;cessation d'activité dont dissolution, liquidation (sortie);
États-Unis;;;;;;;;;;Matchpoint Master Trust;Corporate and Investment Banking;Franchissement d'un des seuils tels que définis par le Groupe;
États-Unis;;;;;;;;;;Paribas North America Inc;Corporate and Investment Banking;;
